title_dgs,title_pf,artist_pf,artist_dgs,year,genre_1,genre_2,format_1,label,score,publish_date,reviewer,,,,
Solar Bears - Supermigration,Supermigration,Solar Bears,<Artist 1641871 u'Solar Bears'>,2013,Electronic,,Vinyl, Planet Mu,7.2,2013-04-15,Angus Finlayson,,,,
Cough / Windhand - Reflection Of The Negative,Reflection of the Negative,Cough / Windhand,<Artist 1378302 u'Cough'>,2013,Rock,,Vinyl, Relapse,7.9,2013-04-15,Grayson Currin,,,,
Morrissey - Kill Uncle,Kill Uncle,Morrissey,<Artist 92577 u'Morrissey'>,1991,Rock,Pop,Vinyl, Parlophone,6,2013-04-12,Marc Hogan,,,,
Various - Way To Blue (Sognando Nick Drake),Way to Blue: The Songs of Nick Drake,Various Artists,<Artist 194 u'Various'>,2013,Rock,,CD, StorySound,4.7,2013-04-12,Stephen M. Deusner,,,,
Bonobo - The North Borders,The North Borders,Bonobo,<Artist 8708 u'Bonobo'>,2013,Electronic,,Vinyl, Ninja Tune,6,2013-04-12,Ruth Saxelby,,,,
OMD* - English Electric,English Electric,Orchestral Manoeuvres in the Dark,<Artist 9462 u'Orchestral Manoeuvres In The Dark'>,2013,Electronic,,Vinyl, BMG,6.7,2013-04-11,Ned Raggett,,,,
Various - Music For Dancefloors: The KPM Music Library,Music For Dancefloors: The KPM Music Library,Various Artists,<Artist 194 u'Various'>,2013,Jazz,Funk / Soul,Vinyl, Strut,7.6,2013-04-11,Nick Neyland,,,,
A Hawk And A Hacksaw - You Have Already Gone To The Other World,You Have Already Gone to the Other World,A Hawk and a Hacksaw,<Artist 241907 u'A Hawk And A Hacksaw'>,2013,"Folk, World, & Country",,Vinyl, LM Dupli-Cation,7.2,2013-04-11,Paul Thompson,,,,
Kurt Vile - Wakin On A Pretty Daze,Wakin on a Pretty Daze,Kurt Vile,<Artist 1203535 u'Kurt Vile'>,2013,Rock,,Vinyl, Matador,8.5,2013-04-10,Jayson Greene,,,,
White Fence - Cyclops Reap,Cyclops Reap,White Fence,<Artist 1824105 u'White Fence'>,2013,Rock,,Vinyl, Castle Face,7.7,2013-04-10,Evan Minsker,,,,
James Blake - Overgrown,Overgrown,James Blake,<Artist 1500084 u'James Blake'>,2013,Electronic,Hip Hop,Vinyl, Republic,8,2013-04-09,Eric Harvey,,,,
Steve Mason (2) - Monkey Minds In The Devil's Time,Monkey Minds in the Devil's Time,Steve Mason,<Artist 421698 u'Steve Mason (2)'>,2013,Rock,,Vinyl, Double Six,7.9,2013-04-09,Stuart Berman,,,,
